Villa Name,Wiki Link Text,Wiki Link,Grid Reference,Link,latitude,longitude
Wycomb,Goadby Marwood,/wiki/Goadby_Marwood,SK782255,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=964934&resourceID=19191,52.821374572084416,-0.8408706097242651
Barrs Farm,Hemingby,/wiki/Hemingby,TF24157331,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=352988&resourceID=19191,53.24230841723028,-0.1405398324487906
Denton,Denton,/wiki/Denton_Lincolnshire,SK87593094,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=323786&resourceID=19191,52.86882255613842,-0.7000549845168655
Glentworth Hall,Glentworth,/wiki/Glentworth_Lincolnshire,SK94378828,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=920235&resourceID=19191,53.38294972205901,-0.5824609374481792
Gravel Pit Farm,Kirton in Lindsey,/wiki/Kirton_in_Lindsey,SK939966,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=1063122&resourceID=19191,53.45779519243444,-0.5870506972777159
Haceby,Haceby,/wiki/Haceby,TF01953692,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=348661&resourceID=19191,52.92003453783291,-0.48482772125585105
Horkstow,Horkstow,/wiki/Horkstow,SE98491914,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=63618&resourceID=19191,53.65948670458104,-0.5108138096173938
Kirmond le Mire,Kirmond le Mire,/wiki/Kirmond_le_Mire,TF183930,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=893061&resourceID=19191,53.42054438808775,-0.22087352393314622
Mount Pleasant Farm,Kirton in Lindsey,/wiki/Kirton_in_Lindsey,SE93940038,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=63566&resourceID=19191,53.49175403425046,-0.585318511626065
Norton Disney,Norton Disney,/wiki/Norton_Disney,SK85896028,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=324486&resourceID=19191,53.132772514707604,-0.7175207462667462
